assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,known_name,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,price_change_calibrating,price_change_hourly_rate,price_change_locked_until,price_change_percent,price_change_projections,recoveries,red_cards,region,removed,saves,saves_per_90,scout_news_link,scout_risks,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,tackles,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,2007-03-21,0,0,False,True,0,0,0,0,0,499175,,,0,0,-1,1,0.0,629,274,0,0,,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Ethan,0.0,631,273,0,0,0,False,0.0,630,273,22,False,0.0,626,272,,0,Has joined Borussia Dortmund on loan for the rest of the season,2026-09-02T16:01:07.058827Z,54,209,132,p499175,0,0,,0,,499175.jpg,0.0,631,273,False,0,,0.0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",0,0,241,False,0,0,,[],Nwaneri,0.0,627,268,False,,0,0,u,0,1,3,2022-09-17,0.0,616,267,0,233,0,1206,6,0.0,0.0,Nwaneri,0
0,2000-05-30,0,0,False,True,0,0,0,0,0,438098,,,0,0,0,0,0.0,641,279,0,0,,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Fábio,0.0,640,278,0,0,0,False,0.0,639,278,23,False,0.0,635,277,Fábio Vieira,0,Has joined Hamburger SV permanently,2026-09-02T16:00:28.446370Z,55,144,88,p438098,0,0,,0,,438098.jpg,0.0,640,278,False,0,,0.0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",0,0,173,False,0,0,,[],Ferreira Vieira,0.0,628,269,False,,0,0,u,0,1,3,2022-06-21,0.0,628,272,0,255,0,886,7,0.0,0.0,Fábio Vieira,0
0,1999-12-10,0,0,False,True,0,0,0,0,0,200641,,,0,0,0,0,0.0,637,276,0,0,,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Reiss,0.0,637,275,0,0,0,False,0.0,636,275,24,False,0.0,632,274,,0,has departed the club as a free agent.,2026-08-29T00:33:08.556767Z,55,132,80,p200641,0,0,,0,,200641.jpg,0.0,637,275,False,0,,0.0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",0,0,241,False,0,0,,[],Nelson,0.0,636,276,False,,0,0,u,0,1,3,2017-07-12,0.0,624,269,0,68,0,657,3,0.0,0.0,Nelson,0
0,1998-06-04,0,2,True,True,,,0,0.0,0,224117,,,0,0,-3,3,0.1,379,49,1,7.5,,,0,4,0.2,0.2,0,0.00,0.0,0.00,0.0,0.00,0.11,0.82,0.0,Viktor,0.2,407,50,0,0.0,0,False,0.0,658,76,25,False,0.0,658,76,,12,,,72,23,8,p224117,0,0,2,0,,224117.jpg,1.0,390,48,False,-55,,-99.1,"[{'offset': 0, 'projected_percent': '-100.2', 'likelihood': -5}, {'offset': 1, 'projected_percent': '-102.7', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-105.2', 'likelihood': -5}]",1,0,206,False,0,0.0,,[],Gyökeres,3.2,100,15,False,,0,0.0,a,0,1,3,2025-07-26,0.0,658,76,1,29018,795,596086,1762,0.0,0.1,Gyökeres,0
0,1999-06-11,2,77,True,True,,,3,0.78,4,219847,,,0,0,1,-1,66.0,57,3,10,2.59,,,0,4,3.4,3.4,0,0.35,0.09,1.24,0.32,0.89,2.60,0.67,0.23,Kai,3.4,78,7,1,0.26,2,False,28.7,20,5,26,False,84.2,72,6,,347,,,76,17,6,p219847,0,0,,0,,219847.jpg,4.2,84,8,False,431,,11.6,"[{'offset': 0, 'projected_percent': '14.2', 'likelihood': 1}, {'offset': 1, 'projected_percent': '20.0', 'likelihood': 2}, {'offset': 2, 'projected_percent': '25.9', 'likelihood': 2}]",6,0,80,False,0,0.0,,[],Havertz,8.5,45,7,False,,4,1.04,a,0,1,3,2023-06-28,137.0,6,4,17,613969,10736,363077,2605,0.4,2.2,Havertz,1
0,1997-04-03,0,0,False,True,0,0,0,0,0,205651,,,0,0,-1,1,0.0,647,76,0,0,,,0,4,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Gabriel,0.0,646,76,0,0,0,False,0.0,646,75,27,False,0.0,643,72,Gabriel Jesus,0,Has joined FC Barcelona permanently,2026-09-02T16:00:28.475184Z,59,82,21,p205651,0,0,,0,,205651.jpg,0.0,646,76,False,-8,,0.0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",0,0,30,False,0,0,,[],Fernando de Jesus,0.2,366,56,False,,0,0,u,0,1,3,2022-07-04,0.0,640,73,0,4164,0,28409,134,0.0,0.0,G.Jesus,0
0,1997-10-23,0,34,True,True,,,1,0.47,14,199798,,,1,-1,1,-1,1.7,321,116,19,8.95,,,0,2,2.2,2.2,0,0.01,0.0,0.01,0.0,0.00,2.19,1.03,0.0,Ezri,2.2,134,50,1,0.47,0,False,4.0,277,105,31,False,34.4,210,89,,191,,,46,423,80,p199798,0,0,,0,,199798.jpg,3.7,109,43,False,123,,0.3,"[{'offset': 0, 'projected_percent': '0.6', 'likelihood': 1}, {'offset': 1, 'projected_percent': '1.2', 'likelihood': 1}, {'offset': 2, 'projected_percent': '1.8', 'likelihood': 1}]",6,0,241,False,0,0.0,,[],Konsa Ngoyo,19.4,19,5,False,,2,0.94,a,5,1,3,2026-08-21,4.0,282,104,11,1401630,28323,593452,2344,0.5,2.4,Konsa,0
0,1997-11-16,1,33,True,True,100,100,0,0.0,1,208706,4,,0,0,-3,3,4.7,279,146,6,8.44,,,0,3,1.6,1.6,0,0.15,0.21,0.24,0.34,0.09,1.57,2.21,0.13,Bruno,1.6,200,93,0,0.0,1,False,5.4,252,112,452,False,36.8,196,79,Bruno Guimarães,64,,2026-09-04T14:00:08.328779Z,67,32,21,p208706,0,0,4,0,,208706.jpg,4.0,100,40,False,30,,1.3,"[{'offset': 0, 'projected_percent': '1.4', 'likelihood': 1}, {'offset': 1, 'projected_percent': '1.8', 'likelihood': 1}, {'offset': 2, 'projected_percent': '2.3', 'likelihood': 1}]",4,0,30,False,0,0.0,,[],Guimarães Rodriguez Moura,1.8,136,42,False,,0,0.0,a,1,1,3,2026-08-08,13.0,204,104,8,25570,624,237511,438,0.2,1.2,Bruno G.,0
2,2002-01-30,1,72,True,True,,,2,0.62,6,439509,3,,0,0,-1,1,108.9,22,20,20,6.21,,,0,3,2.8,2.8,0,0.48,0.15,0.67,0.21,0.19,1.96,0.61,0.06,Christos,2.8,102,44,1,0.31,0,False,20.1,50,37,557,False,51.4,154,55,,290,,,64,44,30,p439509,0,0,,0,,439509.jpg,3.5,119,49,False,-130,,-87.6,"[{'offset': 0, 'projected_percent': '-88.2', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-89.6', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-91.0', 'likelihood': -3}]",11,0,83,False,0,0.0,,[],Tzolis,13.3,30,11,False,,4,1.24,a,3,1,3,2026-07-23,40.0,100,55,14,451860,1493,1479000,15792,0.4,2.2,Tzolis,2
0,1991-03-10,0,1,True,True,0,0,0,0.0,2,72147,,,0,0,0,0,0.0,455,34,0,0.0,,,0,1,0.0,0.0,0,0.00,0.0,0.00,0.0,0.00,3.77,3.77,0.0,Marco,0.2,376,23,4,4.0,0,False,2.8,299,21,29,False,28.2,230,21,,90,Back injury - Expected back 10 Oct,2026-09-17T07:30:09.058151Z,45,430,24,p72147,0,0,,0,,72147.jpg,1.0,304,23,False,-3,,-20.1,"[{'offset': 0, 'projected_percent': '-20.7', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-21.9', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-23.2', 'likelihood': -2}]",6,0,152,False,3,3.0,https://www.avfc.co.uk/news/2026/september/18/prematch-team-news-for-spurs-showdown/,[],Bizot,0.1,388,44,False,,1,1.0,i,0,2,7,2025-07-15,0.0,404,30,1,4600,6,6511,135,0.0,0.2,M.Bizot,0
0,1993-07-20,0,0,False,True,0,0,0,0,0,101188,,,0,0,0,0,0.0,458,181,0,0,,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Lucas,0.0,482,183,0,0,0,False,0.0,467,181,30,False,0.0,462,181,,0,Has joined Paris Saint-Germain permanently,2026-08-10T14:03:30.089007Z,45,435,87,p101188,0,0,,0,,101188.jpg,0.0,482,183,False,-2,,0.0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",0,0,73,False,0,0,,[],Digne,0.1,496,176,False,,0,0,u,0,2,7,2022-01-13,0.0,407,169,0,0,0,8443,32,0.0,0.0,Digne,0
